##                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
Identifier	Domain target name        accession   tlen query E-value                    Score   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
##------------------- ---------- -----          -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1	RosmerTA_RmrA_2677172838 -            380 WP_000737133.1|WP_000737133.1 -             99     4e-16   54.7   1.4   1   1   5.9e-18   4.1e-16   54.6   1.4     6    80     3    75     1    98 0.84 -
2	HTH                      -             99 WP_000737133.1|WP_000737133.1 -             99   2.1e-13   46.1   0.8   1   1   3.6e-15   2.5e-13   45.9   0.8     4    61     9    66     6    97 0.86 -
3	RosmerTA_RmrA_2623274509 -            383 WP_000737133.1|WP_000737133.1 -             99     1e-12   43.4   0.2   1   1   1.6e-14   1.1e-12   43.3   0.2    10    92     5    87     1    98 0.79 -
4	RosmerTA_RmrA_2664250653 -            395 WP_000737133.1|WP_000737133.1 -             99   1.2e-12   43.1   0.0   1   1     2e-14   1.4e-12   43.0   0.0    23    87     7    71     2    95 0.89 -
5	RosmerTA_RmrA_2662548665 -            400 WP_000737133.1|WP_000737133.1 -             99   2.7e-12   42.1   0.1   1   1   4.3e-14     3e-12   42.0   0.1    10    79     8    77     3    97 0.85 -
6	RosmerTA_RmrA_2634932349 -            363 WP_000737133.1|WP_000737133.1 -             99   4.6e-11   37.9   0.0   1   1     7e-13   4.9e-11   37.9   0.0     4    65     8    69     5    94 0.88 -
7	RosmerTA_RmrA_2600853143 -            384 WP_000737133.1|WP_000737133.1 -             99   1.3e-10   36.6   0.3   1   1     2e-12   1.4e-10   36.6   0.3     8    74     8    71     1    97 0.84 -
8	RosmerTA_RmrA_2603008502 -            394 WP_000737133.1|WP_000737133.1 -             99   1.5e-10   36.6   0.3   1   1   2.5e-12   1.8e-10   36.3   0.3     5    67     9    71     7    98 0.84 -
9	RosmerTA_RmrA_2753529055 -            399 WP_000737133.1|WP_000737133.1 -             99     2e-09   32.7   0.0   1   1   3.2e-11   2.3e-09   32.6   0.0     9    80     7    78     3    97 0.82 -
